"species","year","country","mean"
"Aeshna_affinis",2013,"Austria",0.05888
"Aeshna_affinis",2013,"Belgium",0.0509
"Aeshna_affinis",2013,"Cyprus",0.00274
"Aeshna_affinis",2013,"Czechia",0.18623
"Aeshna_affinis",2013,"Denmark",0.01304
"Aeshna_affinis",2013,"Finland",0.00048
"Aeshna_affinis",2013,"France",0.24575
"Aeshna_affinis",2013,"Ireland",0.00075
"Aeshna_affinis",2013,"Isle of Man",6e-05
"Aeshna_affinis",2013,"Italy",0.15844
"Aeshna_affinis",2013,"Luxembourg",0.03936
"Aeshna_affinis",2013,"Netherlands",0.03044
"Aeshna_affinis",2013,"Norway",0.00023
"Aeshna_affinis",2013,"Portugal",0.0979
"Aeshna_affinis",2013,"Slovenia",0.2874
"Aeshna_affinis",2013,"Spain",0.0871
"Aeshna_affinis",2013,"Sweden",0.00161
"Aeshna_affinis",2013,"Switzerland",0.07333
"Aeshna_affinis",2013,"United Kingdom",0.00651
"Aeshna_affinis",2013,"All",0.08883
"Aeshna_affinis",2014,"Austria",0.04601
"Aeshna_affinis",2014,"Belgium",0.03978
"Aeshna_affinis",2014,"Cyprus",0.00189
"Aeshna_affinis",2014,"Czechia",0.15314
"Aeshna_affinis",2014,"Denmark",0.00962
"Aeshna_affinis",2014,"Finland",0.00034
"Aeshna_affinis",2014,"France",0.20234
"Aeshna_affinis",2014,"Ireland",0.00055
"Aeshna_affinis",2014,"Isle of Man",4e-05
"Aeshna_affinis",2014,"Italy",0.125
"Aeshna_affinis",2014,"Luxembourg",0.02629
"Aeshna_affinis",2014,"Netherlands",0.02414
"Aeshna_affinis",2014,"Norway",0.00016
"Aeshna_affinis",2014,"Portugal",0.07663
"Aeshna_affinis",2014,"Slovenia",0.24551
"Aeshna_affinis",2014,"Spain",0.0662
"Aeshna_affinis",2014,"Sweden",0.0012
"Aeshna_affinis",2014,"Switzerland",0.05869
"Aeshna_affinis",2014,"United Kingdom",0.00568
"Aeshna_affinis",2014,"All",0.0715
"Aeshna_affinis",2015,"Austria",0.04097
"Aeshna_affinis",2015,"Belgium",0.03706
"Aeshna_affinis",2015,"Cyprus",0.00158
"Aeshna_affinis",2015,"Czechia",0.13945
"Aeshna_affinis",2015,"Denmark",0.00849
"Aeshna_affinis",2015,"Finland",0.00028
"Aeshna_affinis",2015,"France",0.18197
"Aeshna_affinis",2015,"Ireland",0.00047
"Aeshna_affinis",2015,"Isle of Man",4e-05
"Aeshna_affinis",2015,"Italy",0.11029
"Aeshna_affinis",2015,"Luxembourg",0.02107
"Aeshna_affinis",2015,"Netherlands",0.02303
"Aeshna_affinis",2015,"Norway",0.00014
"Aeshna_affinis",2015,"Portugal",0.06817
"Aeshna_affinis",2015,"Slovenia",0.22863
"Aeshna_affinis",2015,"Spain",0.05783
"Aeshna_affinis",2015,"Sweden",0.00107
"Aeshna_affinis",2015,"Switzerland",0.05266
"Aeshna_affinis",2015,"United Kingdom",0.00568
"Aeshna_affinis",2015,"All",0.06395
"Aeshna_affinis",2016,"Austria",0.05152
"Aeshna_affinis",2016,"Belgium",0.05397
"Aeshna_affinis",2016,"Cyprus",0.00218
"Aeshna_affinis",2016,"Czechia",0.16871
"Aeshna_affinis",2016,"Denmark",0.01182
"Aeshna_affinis",2016,"Finland",4e-04
"Aeshna_affinis",2016,"France",0.21312
"Aeshna_affinis",2016,"Ireland",0.00062
"Aeshna_affinis",2016,"Isle of Man",5e-05
"Aeshna_affinis",2016,"Italy",0.13428
"Aeshna_affinis",2016,"Luxembourg",0.02724
